,City Name,City Country,Date,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,trojan,bg,1529810100,42.76552946305114,24.737600352890382,66.2,88,90,6.93
1,bethel,us,1529808780,47.042649896443436,-167.9888681019303,57.2,58,1,5.82
2,yellowknife,ca,1529809200,74.54262638255457,-104.59271216177807,66.2,88,75,3.36
3,rikitea,pf,1529812350,-49.06921437140541,-141.03253434615607,76.54,100,12,12.68
4,milkovo,ru,1529811000,54.2874359433213,159.46692681932552,62.6,58,92,4.7
5,kahului,us,1529808960,24.187652512114795,-155.2549707339071,82.4,61,40,23.04
6,kailua,us,1529809020,35.52117401254185,-151.49018398165782,84.2,65,75,12.75
7,argayash,ru,1529809200,55.23179535690625,60.8265302667273,66.2,68,0,13.42
8,boyolangu,id,1529812351,-9.816997494002052,111.1906725604369,80.5,83,0,4.97
9,susanville,us,1529811300,41.96058508470264,-119.91838172466288,77,17,1,2.73
10,hobart,au,1529809200,-50.59184768100363,149.27438673728852,53.6,54,75,8.05
11,tsiroanomandidy,mg,1529812353,-19.286563828438233,45.98021690916349,41.62,85,0,3.4
12,ushuaia,ar,1529812179,-74.70983463117538,-69.40356608208933,23.17,100,80,2.73
13,ribeira grande,pt,1529811571,40.39197585845545,-36.71249416551305,70.69,100,92,4.97
14,alihe,cn,1529812353,51.50779548661714,123.10744369658448,66.28,68,88,4.41
15,marawi,sd,1529812354,21.30239349475285,26.841714612490478,77.62,86,64,3.18
16,saint-philippe,re,1529810100,-65.9776075303808,71.73491736322703,60.8,87,90,2.24
17,vaini,to,1529812354,-68.42544561995578,-169.59135135983365,68.8,100,100,3.62
18,sisophon,kh,1529812355,13.423267199757348,102.98147624616479,88.15,63,68,12.35
19,nikolskoye,ru,1529809200,52.08164995559994,170.2877017250771,59,58,0,8.95
20,namibe,ao,1529811760,-19.352366863675172,7.723019353232559,69.61,99,0,3.85
21,uvaly,cz,1529811000,50.10640011814647,14.725758408554782,53.6,87,75,9.17
22,moranbah,au,1529812356,-22.20344102726986,147.29363233741606,73.48,38,0,12.01
23,bolu,tr,1529812357,40.44391124310792,31.75811435185753,56.2,99,92,2.73
24,mataura,pf,1529812357,-58.60193438680211,-145.50987889142866,45.58,76,0,15.26
25,khatanga,ru,1529811827,75.14887994381493,102.08881238505376,53.86,86,68,11.01
26,constitucion,mx,1529808120,15.405275658902383,-124.1157420327342,68,49,75,12.75
27,lata,sb,1529812358,-6.9992575703689965,167.48601621640444,67.27,77,0,0.94
28,los llanos de aridane,es,1529811000,26.674051813669024,-20.771951181442006,66.2,77,0,5.82
29,tautira,pf,1529811000,-16.015987456286425,-142.9739422205477,82.4,61,40,5.82
30,upernavik,gl,1529811789,83.00294991614152,-48.26412494531786,29.83,100,76,4.07
31,san patricio,mx,1529811763,6.468733764107739,-114.472528259988,67.99,93,92,3.4
32,kapaa,us,1529808960,24.087599645383136,-168.72578210801052,82.4,69,40,20.8
33,bluff,nz,1529812360,-80.18410187622418,159.06651049014624,73.84,32,20,8.55
34,longyearbyen,sj,1529808600,81.99222337099607,22.98624540706078,46.4,45,0,18.34
35,torbay,ca,1529809200,43.813231676176,-46.50313085992974,53.6,50,75,27.51
36,belmonte,br,1529812361,-18.510016887977258,-28.266672603470084,64.66,87,0,3.06
37,georgetown,sh,1529809200,-17.197249888400137,-18.213323103768147,77,94,40,2.24
38,qandala,so,1529812047,14.782700357153175,49.37575170538187,78.25,67,76,4.18
39,hambantota,lk,1529812362,-1.01698785064103,86.67069493344042,78.61,100,24,10.56
40,avarua,ck,1529809200,-23.38917803061814,-160.98037824502842,80.6,78,40,5.82
41,busselton,au,1529812335,-66.11841769752508,82.37629955227573,60.07,100,0,7.54
42,udachnyy,ru,1529812363,68.57410697943234,113.95125675451442,72.76,52,64,3.18
43,bambous virieux,mu,1529809200,-28.128634559318094,75.26825310605284,73.4,64,75,11.41
44,faanui,pf,1529811890,-7.06135785409208,-150.48622332292837,80.59,100,8,13.58
45,tuatapere,nz,1529811521,-45.790044824435306,165.36564569842636,44.14,100,32,16.49
46,klaksvik,fo,1529810400,69.3561623859714,-1.4018485790685702,50,100,92,11.41
47,miandrivazo,mg,1529812365,-18.766898166639066,44.15103213009661,51.07,80,0,2.95
48,ucluelet,ca,1529811968,45.39172726908856,-129.38665083621268,61.69,72,0,1.95
49,kodiak,us,1529808780,55.354692777325084,-156.35754988046364,75.2,73,1,4.7
50,tasiilaq,gl,1529808600,69.0781376003552,-31.790389619555413,39.2,86,68,9.17
51,zemio,cf,1529811927,4.152193112659091,25.991344793451105,63.85,97,80,2.51
52,barrow,us,1529811771,83.74080819857568,-155.22206066797776,38.38,40,0,17.16
53,bredasdorp,za,1529809200,-50.10429962449502,20.820274848938112,59,67,92,5.82
54,itoman,jp,1529809200,18.633288887838077,131.914845513783,87.8,74,75,12.75
55,vila franca do campo,pt,1529811000,42.1861702940929,-20.58299402777962,66.2,77,75,8.05
